height,wall_seconds,blocks_per_sec,coins_in_db,db_size_bytes,rss_mb,avg_ops_per_block,ops_per_sec
10000,0.2538604736328125,12506.870229007634,19992,0,93.55859375,6.3,78751.9
80000,2.3440093994140625,11522.62391590013,159998,0,120.62890625,5.9,68376.9
90000,2.7997143268585205,7658.4644795734985,179998,0,124.49609375,5.7,43884.3
110000,3.595606803894043,8586.587004132449,219998,0,132.23046875,5.7,49362.4
130000,4.131924152374268,12876.704472771016,259994,0,139.96484375,5.8,75003.5
140000,4.670172452926636,6491.427834355151,279998,0,143.83203125,5.7,37161.8
170000,5.802222013473511,9039.35689446017,340000,33501873,157.546875,5.9,53314.4
180000,6.180360555648804,8848.608715609056,360000,43096282,161.671875,6.0,52890.7
200000,6.731503009796143,12245.47292485613,399996,43096282,168.16796875,5.8,71631.9
240000,12.552647590637207,2279.448623157688,527945,83499495,198.9140625,26.9,61372.5
270000,17.127342700958252,2173.040991862375,680718,83499495,201.4921875,30.1,65445.3
300000,24.69625973701477,1328.4595341843983,1079253,242421120,226.21484375,61.6,81835.3
400000,53.131836891174316,1216.7504043412346,2214984,658138705,230.0859375,54.0,65764.4
430000,62.91181421279907,1090.288826787233,2525772,415591322,230.0859375,35.5,38694.7
490000,84.94788599014282,972.9047997584748,3217070,558116074,230.0859375,58.0,56385.7
570000,136.77938318252563,552.9842191055246,4878846,1212229542,230.0859375,127.3,70369.5
610000,155.9962134361267,745.8045791560396,6002781,1312193181,262.02734375,112.6,83982.3
620000,160.36594319343567,832.0880699586288,6311162,1111843600,262.02734375,114.6,95396.6
640000,167.30691289901733,1037.1749633499821,6968954,1302144146,262.02734375,124.0,128562.3
650000,172.3740062713623,710.8611851636457,7315505,1315177188,262.02734375,133.9,95218.5
670000,179.76638436317444,967.3477074881375,7937059,1426061875,262.02734375,119.9,115972.8
680000,185.138254404068,672.2053907691609,8289596,1701629097,262.02734375,129.5,87055.1
720000,201.9048798084259,855.8669173983102,9860454,1767325076,281.25,147.0,125775.1
730000,208.33403515815735,560.4157628809672,10271585,2052070999,282.5390625,155.7,87237.0
770000,231.6830756664276,618.4408303581182,12057767,2483319004,293.8359375,190.1,117551.7
820000,261.6969790458679,599.5221538670638,14298943,2707104340,293.8359375,198.0,118735.2
840000,276.34962725639343,493.1531758750142,15245760,2877858204,293.8359375,216.7,106877.1
850000,285.0984876155853,408.85325095420734,15646859,2842622090,293.8359375,158.7,64872.7
860000,293.5546004772186,435.30639434831454,16050288,2957149960,293.8359375,160.5,69854.6
880000,306.34417057037354,565.3043806272707,16830468,3172842487,293.8359375,148.8,84094.4
890000,319.1731617450714,280.92622022439537,17231792,3426418107,293.8359375,154.6,43421.9
980000,373.2075889110565,598.9699844615712,21248533,4096718237,299.56640625,156.7,93859.7
990000,383.3185076713562,358.72110991944095,21675711,4243992813,299.56640625,167.3,60023.7
1030000,409.18233942985535,559.9711649547335,23423282,4917309967,299.56640625,240.2,134482.1
1060000,434.3366231918335,429.58885660396993,25217580,4875392348,299.56640625,192.7,82784.7
1100000,479.3570222854614,318.8776707675146,27691741,5434457112,309.015625,227.5,72535.9
1120000,496.8701272010803,412.8908057617528,28365416,5327116867,309.015625,162.2,66983.1
1150000,516.2895834445953,558.254559965873,29322844,5433837170,309.015625,141.4,78936.2
1170000,531.3876838684082,480.98766044411155,30029776,5722050796,309.015625,149.2,71759.2
1180000,542.4269633293152,325.4741410183306,30347059,5669680431,316.4140625,137.6,44779.0
1230000,569.6287832260132,665.6172296103566,31950931,6005619111,316.4140625,143.9,95776.4
1260000,588.0656826496124,589.1446143106162,32845390,6085598894,318.5234375,122.9,72381.8
1270000,599.7528195381165,307.17531883546934,33132731,6142118076,318.5234375,112.9,34676.3
1310000,640.2655730247498,359.71388626567153,35919749,6618263259,329.03515625,487.8,175453.7
1330000,660.1306865215302,359.52475182976065,36950493,7034257825,329.03515625,227.3,81712.4
1340000,674.5249238014221,249.75272604558464,37601926,6907018921,329.03515625,221.3,55276.6
1360000,697.114705324173,319.3921992000478,38600085,7139799956,347.9140625,170.9,54582.4
1380000,715.7970650196075,385.55086816791163,39235533,7214799977,347.9140625,128.7,49608.6
1420000,747.0077319145203,463.59150378675247,40427801,7505954193,347.9140625,122.7,56867.2
1470000,778.8544754981995,565.7407311569947,41839073,7885024790,350.95703125,104.4,59061.1
1490000,795.3283758163452,439.54375467624675,42330014,7896513820,350.95703125,97.2,42704.3
1500000,809.8919191360474,251.58712543829859,42577620,7951513712,350.95703125,114.4,28772.5
1600000,1000.9821798801422,189.46020513564446,65118984,11829346754,376.328125,1375.1,260525.6
1610000,1095.834581375122,38.01696048982851,69363129,12475739750,376.328125,1244.6,47315.7
1640000,1202.9661269187927,101.10000695906041,76438852,13714038834,377.12109375,574.4,58069.9
1680000,1422.1667902469635,66.04450816978652,91857516,16315761859,377.12109375,1086.9,71781.8
1690000,1517.329760313034,38.22915570493626,92204008,16342286728,377.12109375,142.4,5442.7
1740000,1802.3079452514648,63.35923573904781,111945146,19620363065,409.6875,1134.8,71901.0
1750000,1942.1230993270874,25.81980489788282,115826287,20157574194,409.6875,1126.1,29076.2
1760000,2075.546211719513,26.914377393911415,118963936,20529703858,438.3828125,920.7,24780.1
1830000,2437.9214372634888,69.9026815698414,143886001,24733028308,478.59765625,1296.1,90599.8
1840000,2622.3637175559998,19.886980328929138,148444717,25510112936,478.59765625,1296.1,25776.1
1880000,2902.032731294632,51.41792366543327,159977717,27354287146,513.4765625,1267.2,65154.8
1910000,3163.3632962703705,41.372887251071326,171616121,29286098155,552.6953125,1175.7,48644.0
1930000,3393.1652767658234,31.55760443998217,179549519,30584977529,567.28125,1105.5,34888.0
1950000,3593.509590148926,36.17272623127636,187088338,31862858058,595.921875,1157.9,41883.5
1980000,3854.9001767635345,41.50111195853493,196495265,33379078916,622.9375,792.4,32887.3
1990000,4028.888019323349,20.949739627623135,199474956,33905836529,633.08984375,870.7,18240.0
2000000,4165.704106092453,26.334622521988653,201453711,34260074934,633.37109375,581.9,15323.1
2010000,4310.402220487595,25.18346569499147,203736208,34600975554,648.80078125,662.8,16692.3
2020000,4455.0730266571045,25.18130710996052,205340217,34893406663,651.30078125,476.7,12004.2
2040000,4620.695723056793,43.60513478522001,208015965,35343554380,663.1328125,220.5,9614.7
2050000,4778.253550767899,22.544103657692407,209414862,35756660140,664.27734375,427.6,9639.2
2060000,4904.147384405136,28.79410289820405,209619909,35636409166,664.27734375,93.4,2688.0
2070000,5024.04306268692,30.376407658668167,209816987,35690511713,664.27734375,88.5,2686.9
2080000,5140.708031654358,30.797591014684443,210057030,35728548862,665.71875,107.2,3302.7
2100000,5274.785003900528,53.51403660000949,210412643,35783027045,665.71875,79.1,4231.4
2170000,5506.885571479797,109.37069333675908,211616811,36101198212,666.5,69.0,7541.4
2190000,5676.781105041504,42.48493087888271,211967187,36186041666,667.05859375,96.6,4105.9
2210000,5814.189503669739,52.267547483987876,212413943,36313683094,673.53515625,122.2,6386.5
2230000,5993.2954297065735,40.4509228718094,212889932,36413520852,674.046875,162.6,6579.0
2270000,6294.688834190369,48.09660657580646,213709036,36714102215,674.9921875,110.8,5330.1
2300000,6433.880819320679,77.48290959356027,214311040,36868773355,674.9921875,92.8,7192.2
2380000,6654.996354103088,130.52000180991305,217117664,37360822107,675.796875,100.6,13132.6
2390000,6780.110262870789,29.349254900331076,217326060,37411874464,675.796875,95.2,2793.9
2450000,6962.136398792267,119.25210569411792,218990963,37952875681,675.796875,87.9,10481.7
2460000,7090.58314704895,28.268524110426995,219183075,37747466242,675.796875,88.5,2500.5
2470000,7222.329986572266,27.30995303582411,219382284,37799293214,675.796875,90.8,2480.3
2490000,7367.839498281479,49.385087721004304,219741236,37867614883,675.796875,82.7,4083.9
