height,wall_seconds,blocks_per_sec,coins_in_db,db_size_bytes,rss_mb,avg_ops_per_block,ops_per_sec
10000,1.2586512565612793,2522.541477195451,19992,4694016,893.51171875,6.3,15883.7
80000,46.01590418815613,538.1027302280817,159998,38264832,893.51171875,5.9,3193.2
90000,47.63071870803833,2161.2389268425636,179998,43081728,893.51171875,5.7,12384.3
110000,50.761332273483276,2182.958661979956,219998,52641792,893.51171875,5.7,12549.3
130000,59.54116368293762,786.5754680167826,259994,62300160,893.51171875,5.8,4581.6
140000,65.66850590705872,570.2309210419824,279998,67035136,893.51171875,5.7,3264.4
170000,75.69247007369995,1020.853609398806,340000,81555456,893.51171875,5.9,6021.0
180000,77.31111645698547,2067.1593465697565,360000,86417408,893.51171875,6.0,12356.0
200000,85.73306512832642,801.358481673746,399996,95997952,893.51171875,5.8,4687.7
240000,137.96872448921204,254.02187245933203,527945,136536064,893.51171875,26.9,6839.4
270000,178.98539400100708,242.36487550851234,680718,183357440,893.51171875,30.1,7299.3
300000,275.2681076526642,104.43203788769559,1079253,296718336,893.51171875,61.6,6433.2
400000,550.2318689823151,125.83112710085334,2214984,616263680,893.51171875,54.0,6801.1
430000,642.2025279998779,115.93914965819454,2525772,707489792,893.51171875,35.5,4114.7
490000,849.5315647125244,103.40567987934071,3217070,916758528,893.51171875,58.0,5993.0
570000,1423.1303217411041,49.968727527371385,4878846,1403985920,893.51171875,127.3,6358.7
610000,1763.4688091278076,42.11101750509786,6002781,1712984064,893.51171875,112.6,4742.0
620000,1849.3378367424011,42.343556239153905,6311162,1797201920,893.51171875,114.6,4854.6
640000,2039.9671123027802,37.76439887754713,6968954,1974362112,893.51171875,124.0,4681.1
650000,2162.2439546585083,29.4577446604407,7315505,2070265856,893.51171875,133.9,3945.8
670000,2398.6573996543884,30.247856673822493,7937059,2241171456,893.51171875,119.9,3626.3
680000,2504.4862174987793,34.12114085323679,8289596,2336497664,893.51171875,129.5,4418.9
720000,3070.234831094742,25.36462247567832,9860454,2775441408,893.51171875,147.0,3727.5
730000,3234.390029191971,21.948741445677193,10271585,2889191424,893.51171875,155.7,3416.6
770000,3944.7238998413086,20.328468902658347,12057767,3394031616,893.51171875,190.1,3864.0
820000,4898.643900871277,18.863217020894293,14298943,4042235904,893.51171875,198.0,3735.9
840000,5356.422593593597,15.784919907539576,15245760,4318773248,893.51171875,216.7,3420.9
850000,5535.468194723129,19.978150691410693,15646859,4430979072,893.51171875,158.7,3169.9
860000,5699.753041505814,22.406205271440644,16050288,4546297856,893.51171875,160.5,3595.6
880000,6026.083703756332,22.15544181517839,16830468,4769546240,893.51171875,148.8,3295.8
890000,6205.482439994812,20.089327692972734,17231792,4880736256,893.51171875,154.6,3105.1
980000,7989.257869243622,18.14410013127587,21248533,6023028736,893.51171875,156.7,2843.2
990000,8184.773701429367,18.550927356891762,21675711,6144282624,893.51171875,167.3,3104.1
1030000,9056.84470486641,16.607592664953888,23423282,6650146816,893.51171875,240.2,3988.5
1060000,9820.863246440887,14.143635804611698,25217580,7148535808,893.51171875,192.7,2725.6
1100000,11276.919362068176,9.859510114976056,27691741,7921827840,893.51171875,227.5,2242.8
1120000,11778.993807077408,14.402246662578186,28365416,8122105856,893.51171875,162.2,2336.5
1150000,12365.944586992264,18.470032532493804,29322844,8402690048,893.51171875,141.4,2611.6
1170000,12794.834053754807,16.93210153846154,30029776,8606396416,893.51171875,149.2,2526.1
1180000,13009.85208106041,16.7102267889999,30347059,8700248064,893.51171875,137.6,2299.0
1230000,14095.927495002747,16.671033859681224,31950931,9173999616,893.51171875,143.9,2398.8
1260000,14681.18465423584,18.559362886279427,32845390,9430142976,893.51171875,122.9,2280.2
1270000,14843.156517028809,22.164343473586595,33132731,9510932480,893.51171875,112.9,2502.1
1310000,16381.772792339325,9.471497366722541,35919749,10294706176,893.51171875,487.8,4619.8
1330000,16953.07506418228,12.501263082607244,36950493,10580291584,893.51171875,227.3,2841.3
1340000,17248.533094644547,12.167548786456635,37601926,10749034496,893.51171875,221.3,2693.0
1360000,17888.136630535126,11.280425443480214,38600085,11039510528,893.51171875,170.9,1927.8
1380000,18304.03356218338,17.31919485785471,39235533,11222347776,893.51171875,128.7,2228.4
1420000,19223.928682088852,15.728967016899526,40427801,11587641344,893.51171875,122.7,1929.4
1470000,20206.699280023575,18.332864289858126,41839073,12002521088,893.51171875,104.4,1913.9
1490000,20493.607356786728,25.238048651999275,42330014,12144615424,893.51171875,97.2,2452.0
1500000,20664.35212469101,21.458929869253822,42577620,12218355712,893.51171875,114.4,2454.1
1600000,30396.408925771713,3.7200769313203863,65118984,17759043584,893.51171875,1375.1,5115.5
1610000,32278.657835245132,1.9157933798505002,69363129,18775580672,893.51171875,1244.6,2384.4
1640000,35553.37486886978,3.307461343617715,76438852,20487737344,893.51171875,574.4,1899.7
1680000,42338.00530004501,2.133793453727191,91857516,24181297152,893.51171875,1086.9,2319.2
1690000,42605.11527967453,13.619858026442634,92204008,24282345472,893.51171875,142.4,1939.1
1740000,51049.18584036827,2.138305201291043,111945146,28987101184,893.51171875,1134.8,2426.6
1750000,53045.73762869835,1.80811738573504,115826287,29911863296,893.51171875,1126.1,2036.2
1760000,54684.570699453354,2.1911932728728973,118963936,30662975488,893.51171875,920.7,2017.4
1830000,68548.52274918556,1.8271124935468372,143886001,36613791744,893.51171875,1296.1,2368.1
1840000,71206.68555474281,1.3799004306025,148444717,37695418368,893.51171875,1296.1,1788.5
1880000,77818.5291800499,2.174885072139335,159977717,40466894848,893.51171875,1267.2,2755.9
1910000,83999.43841576576,1.7492572027305893,171616121,43239927808,893.51171875,1175.7,2056.7
1930000,88435.1075553894,1.634928073245634,179549519,45134061568,893.51171875,1105.5,1807.5
1950000,92923.88775920868,1.614469782644714,187088338,46932430848,893.51171875,1157.9,1869.4
1980000,98693.68241047859,1.8801362363238336,196495265,49188679680,893.51171875,792.4,1489.9
1990000,100628.63233780861,1.8837696771976074,199474956,49903640576,893.51171875,870.7,1640.1
2000000,102048.06013727188,2.538346791124143,201453711,50379317248,893.51171875,581.9,1477.0
2010000,103608.82632732391,2.3347507289855614,203736208,50929340416,893.51171875,662.8,1547.5
2020000,104720.5616812706,3.2768589998215556,205340217,51318972416,893.51171875,476.7,1562.1
2040000,106655.50639367104,3.7324063854210054,208015965,51975143424,893.51171875,220.5,823.0
2050000,107686.18806099892,3.446262907934343,209414862,52316925952,893.51171875,427.6,1473.5
2060000,107943.0958340168,14.11012192203178,209619909,52379525120,893.51171875,93.4,1317.2
2070000,108170.45576500893,16.0186537007971,209816987,52439932928,893.51171875,88.5,1416.9
2080000,108449.91937804222,12.856772160789097,210057030,52510937088,893.51171875,107.2,1378.8
2100000,108917.50986742973,15.344623474695549,210412643,52619493376,893.51171875,79.1,1213.3
2170000,110830.96110320091,13.266604094966167,211616811,53001777152,893.51171875,69.0,914.8
2190000,111536.30514192581,10.233304038478149,211967187,53115691008,893.51171875,96.6,989.0
2210000,112096.31971907616,12.824666165916387,212413943,53253038080,893.51171875,122.2,1567.0
2230000,112900.02119421959,9.014541125119896,212889932,53405147136,893.51171875,162.6,1466.1
2270000,114560.3909125328,8.730585628077222,213709036,53674283008,893.51171875,110.8,967.5
2300000,115351.54534053802,13.631978306931579,214311040,53856219136,893.51171875,92.8,1265.4
2380000,118059.98506617546,10.655581413467766,217117664,54623764480,893.51171875,100.6,1072.1
2390000,118344.92156648636,12.887081844528288,217326060,54685495296,893.51171875,95.2,1226.8
2450000,120057.84058332443,12.672519708532148,218990963,55152316416,893.51171875,87.9,1113.9
