height,wall_seconds,blocks_per_sec,coins_in_db,db_size_bytes,rss_mb
10000,6.208038091659546,511.43371756458606,19992,4694016,90.53125
80000,51.801897048950195,528.2290323914086,159998,38264832,90.53125
90000,60.55061674118042,398.91551252916287,179998,43081728,90.53125
110000,71.80189275741577,607.3977733848751,219998,52641792,90.53125
130000,82.27754354476929,659.2430523110895,259994,62300160,90.53125
140000,89.83293509483337,462.451214718364,279998,67035136,90.53125
170000,103.1566116809845,768.0312512716175,340000,81555456,90.53125
180000,105.91740560531616,1211.970212811158,360000,86417408,90.53125
200000,117.85176157951355,565.5101971645257,399996,95997952,90.53125
240000,178.3140528202057,219.45909967549724,527945,136536064,90.53125
270000,241.52589416503906,157.26483817754706,680718,183357440,90.53125
300000,358.47194647789,85.97981548877881,1079253,296718336,90.53125
400000,694.6396415233612,102.92184677447969,2214984,616263680,90.53125
430000,788.6663997173309,113.40388847611952,2525772,707489792,90.53125
490000,1047.7619965076447,82.74552043951022,3217070,916758528,90.53125
570000,1727.0413694381714,42.194715668086985,4878846,1403985920,90.53125
610000,2150.5743312835693,33.839160800031436,6002781,1712984064,90.53125
620000,2273.733891248703,29.522677744458875,6311162,1797201920,90.53125
640000,2532.1220421791077,27.861184710203712,6968954,1974362112,90.53125
650000,2679.692984342575,24.40859932987342,7315505,2070265856,90.53125
670000,2927.3166399002075,28.878501062010457,7937059,2241171456,90.53125
680000,3073.7007024288177,24.667985965304407,8289596,2336497664,90.53125
720000,3746.377518415451,21.332681101774657,9860454,2775441408,90.53125
730000,3921.666259288788,20.554657315973984,10271585,2889191424,90.53125
770000,4747.920276641846,17.476465707554674,12057767,3394031616,90.53125
820000,5884.522062778473,15.83140218454399,14298943,4042235904,90.5546875
840000,6390.959203720093,14.268305809018429,15245760,4318773248,90.5546875
850000,6620.72735118866,15.56786717135954,15646859,4430979072,90.5546875
860000,6862.122027158737,15.24888643549158,16050288,4546297856,90.5546875
880000,7268.816776514053,17.777460887953044,16830468,4769546240,90.5546875
890000,7476.839169502258,17.32505788549577,17231792,4880736256,90.5546875
980000,9520.020088672638,15.840496402610102,21248533,6023028736,90.5546875
990000,9720.82371711731,18.062422617026385,21675711,6144282624,90.5546875
